Descricao;Preco;;
SB LIQ HEDERA OLEO ARGAN 420ML;8,20;2,00;7898556122603
SB LIQ HEDERA REFIL ERVA DOCE 220ML;3,77;2,00;7898556123716
SB LIQ HEDERA REFIL F.VERMELHAS 220ML;3,77;1,00;7898556123709
SB LIQ HEDERA REFIL FRUTAS VERMELHAS 400ML;5,99;2,00;7898556123747
SB LIQ LUX PERFUME FINO 220ML;4,25;3,00;7891150029736
SB LUX  FRESCOR IRRESISTIVEL 125G;1,99;11,00;7891150003217
SB LUX BRISA FLORAL 125G;1,99;11,00;7891150033955
SB MATACURA 80G;6,20;4,00;7896720320015
SB NIVEA ERVA DOCE 90G;1,40;8,00;7890704806441
SB NIVEA PROT. LEITE 90G;1,40;11,00;4005808806430
SB PALMOLIVE AMENDOAS & LANOLINA 150G;2,25;29,00;7891024110409
SB PALMOLIVE AMENDOAS & LANOLINA AMARELO 90G;1,31;5,00;7891024112304
SB PALMOLIVE ARGAN & OIL COMP.90G;1,30;3,00;7891024110348
SB PALMOLIVE ARGAN & OIL COMPLEX 150G;2,15;2,00;7891024110355
SB PALMOLIVE C/ROMA INT RENOVAÇAO 90G;1,31;7,00;7891024177815
SB PALMOLIVE G.REAL & PROTEINA 150G;2,15;6,00;7891024027523
SB PALMOLIVE HID INTENSIVA C/KARITE 150G;2,15;67,00;7891024110300
SB PALMOLIVE HID. ALOE & OLIVA 150G;2,25;9,00;7891024110201
SB PALMOLIVE IOGURTE & FRUTAS 90G;1,30;4,00;7891024112083
SB PALMOLIVE LEITE & ROSAS 150G;2,15;16,00;7891024110508
SB PALMOLIVE SEG. SEDUTOR 150G;2,15;37,00;7891024026458
SB POM POM CAMOMILA E ERVA CIDREIRA 80G;1,95;2,00;7896094905658
SB POM POM GLICERINADO 80G;1,95;2,00;7896094905627
SB POM POM HIDRATANTE 80G;1,95;14,00;7896094905634
SB SENADOR CLASSIC 130G;2,98;1,00;7891134001819
SB SENADOR CLASSIC C/3UN;8,65;1,00;7891134008023
SB SUPER ORIGINAL COLONIA 150G;2,25;21,00;7891134001901
SB SUPER ORIGINAL CRAVO 150G;2,25;28,00;7891134001918
SAL DELETAR;0,00;75,00;7898155960026
SAL FINO FRITZ & FRIDA  1KG;1,05;236,00;7890300127957
SAL FINO SALSUL COMUM 1KG;1,00;3,00;7898955940037
SAL GROSSO FRITZ & FRIDA 1KG;0,80;93,00;7890300127971
SAL GROSSO PIRATA 1KG;1,10;22,00;7896314501189
SAL GROSSO TEMPERADO PIRATA 1KG;2,25;59,00;7896314500144
SAL GROSSO ZIZO 1KG;0,90;49,00;7898102710100
SAL MARINHO IODADO VIDA & SAUDE KG;2,05;54,00;7898921864213
SAL SALAZIR FINO MOIDO 1KG;1,10;58,00;7896314501196
BATATA MERTZ FRITA 70G;3,10;52,00;7898210380943
BATATA ONDULADA BISTEX 50G;2,60;7,00;7896385006651
BATATA PALHA BISTEX 103G;3,90;4,00;7896385006019
BATATA PALHA CASAREDO 80G;3,15;112,00;7896408438315
BATATA PALHA ELMA CHIPS 80G;4,25;39,00;7892840227944
BATATA PALHA KUNZLER 120G;3,09;5,00;7896059800554
BATATA PALHA KUNZLER 80G;1,90;10,00;7896059800547
BISCOITO PARATI HOT CRACKER PIZZA 150G;3,31;2,00;7896011105512
BISCOITO TRIUNFO SALPET QUEIJO 100G;1,30;9,00;7896058256895
BISCOITO TRIUNFO SALPET TRADICIONAL 100G;1,30;8,00;7896058256406
ELMA CHIPS BACONZITOS 103G;5,00;4,00;7892840255442
ELMA CHIPS BACONZITOS 110G;5,00;2,00;7892840000004
ELMA CHIPS BACONZITOS 55G;3,00;51,00;7892840120214
ELMA CHIPS CEBOLITOS 110G;5,00;15,00;7892840255541
ELMA CHIPS CEBOLITOS 120G;5,00;6,00;7892840234447
ELMA CHIPS CEBOLITOS 60G;3,00;75,00;7892840234348
ELMA CHIPS CHEETOS BOLA 59G;2,00;53,00;7892840227548
ELMA CHIPS CHEETOS LUA PARMESAO 140G;3,99;23,00;7892840252649
ELMA CHIPS CHEETOS LUA PARMESAO 51G;2,00;22,00;7892840252847
ELMA CHIPS CHEETOS LUA PARMESSAO 55G;2,00;42,00;7892840227449
ELMA CHIPS CHEETOS MIX DE QUEIJOS 49G;2,00;26,00;7892840253042
ELMA CHIPS CHEETOS MIX DE QUEIJOS 52G;2,00;22,00;7892840247140
ELMA CHIPS CHEETOS ONDA REQUEIJAO 150G;3,99;42,00;7892840252748
ELMA CHIPS CHEETOS ONDA REQUEIJAO 160G;5,00;9,00;7892840233846
ELMA CHIPS CHEETOS ONDA REQUEIJAO 57G;2,00;52,00;7892840252946
ELMA CHIPS CHEETOS ONDA REQUEIJAO 61G;2,00;18,00;7892840227647
ELMA CHIPS CHEETOS PIPOCA DOCE CARAMELO 55G;2,00;2,00;7892840251949
ELMA CHIPS CHEETOS PIPOCA QUEIJO 27G;2,00;4,00;7892840252243
ELMA CHIPS DE MONTAO 60G;3,00;15,00;7892840251642
ELMA CHIPS DORITOS JALAPENO/LIMAO 100G;5,00;4,00;7892840251345
ELMA CHIPS DORITOS QUEIJO NACHO 110G;5,00;73,00;7892840211240
ELMA CHIPS DORITOS QUEIJO NACHO 167G;8,00;24,00;7892840253448
ELMA CHIPS DORITOS QUEIJO NACHO 200G;8,00;50,00;7892840221843
ELMA CHIPS DORITOS QUEIJO NACHO 37G;2,01;11,00;7892840254049
ELMA CHIPS DORITOS QUEIJO NACHO 55G;3,00;36,00;7892840253745
ELMA CHIPS DORITOS QUEIJO NACHO 55G (DELETAR);3,00;79,00;7892840200145
ELMA CHIPS DORITOS QUEIJO NACHO 96G;5,00;26,00;7892840253349
ELMA CHIPS DORITOS QUEIJO TEMPERADO 100G;5,00;8,00;7892840251444
ELMA CHIPS DORITOS ROLETA QUEIJO/PIMENTA 100G;5,00;7,00;7892840242442
ELMA CHIPS DORITOS SABOR SWEET CHILI 55G;2,50;13,00;7892840221744
ELMA CHIPS FANDANGOS PRESUNTO 164G;3,99;45,00;7892840255947
ELMA CHIPS FANDANGOS PRESUNTO 175G;5,00;19,00;7892840234140
ELMA CHIPS FANDANGOS PRESUNTO 59G;2,00;49,00;7892840253141
ELMA CHIPS FANDANGOS PRESUNTO 63G;2,00;274,00;7892840233945
ELMA CHIPS FANDANGOS QUEIJO 164G;3,99;35,00;7892840256043
ELMA CHIPS FANDANGOS QUEIJO 175G;5,00;12,00;7892840234249
ELMA CHIPS FANDANGOS QUEIJO 59G;2,00;24,00;7892840253240
ELMA CHIPS FANDANGOS QUEIJO 63G;2,00;91,00;7892840234041
ELMA CHIPS PINGO DOURO BACON 90G;3,00;121,00;7892840126216
ELMA CHIPS PINGO DOURO PICANHA 65G;3,00;117,00;7892840127114
ELMA CHIPS RUFFLES BURRITATAS 90G;5,00;2,00;7892840256746
ELMA CHIPS RUFFLES CALABREONDA 90G;5,00;3,00;7892840256845
ELMA CHIPS RUFFLES CEBOLA/SALSA 100G;5,00;42,00;7892840205010
ELMA CHIPS RUFFLES CEBOLA/SALSA 110G;5,00;17,00;7892840247645
ELMA CHIPS RUFFLES CEBOLA/SALSA 50G;2,50;35,00;7892840127411
ELMA CHIPS RUFFLES CEBOLA/SALSA 57G;3,00;14,00;7892840254940
ELMA CHIPS RUFFLES CEBOLA/SALSA 96G;5,00;3,00;7892840254643
ELMA CHIPS RUFFLES CHURRASCO 110G;5,00;2,00;7892840247744
ELMA CHIPS RUFFLES CHURRASCO 50G;2,50;26,00;7892840127510
ELMA CHIPS RUFFLES CHURRASCO 57G;3,00;2,00;7892840255046
ELMA CHIPS RUFFLES CHURRASCO 96G;5,00;4,00;7892840254742
ELMA CHIPS RUFFLES EXTREME BURGUER 90G;5,00;4,00;7892840248048
ELMA CHIPS RUFFLES EXTREME CHEDDAR 45G;5,00;5,00;7892840245740
ELMA CHIPS RUFFLES FEIJUUUCA 90G;5,00;1,00;7892840256647
ELMA CHIPS RUFFLES ORIGINAL 100G;5,00;25,00;7892840204815
ELMA CHIPS RUFFLES ORIGINAL 167G;8,00;23,00;7892840253646
ELMA CHIPS RUFFLES ORIGINAL 175G;8,00;24,00;7892840232542
ELMA CHIPS RUFFLES ORIGINAL 50G;2,50;13,00;7892840128111
ELMA CHIPS RUFFLES ORIGINAL 57G;3,00;17,00;7892840253844
ELMA CHIPS RUFFLES ORIGINAL 96G;3,99;60,00;7892840253547
ELMA CHIPS SENSACOES FRANGO GRELHAO 45G;3,00;33,00;7892840225711
ELMA CHIPS SENSAÇOES P.DE PERU 45G;3,00;24,00;7892840215217
ELMA CHIPS STIKSY PALITINHO 90G;3,00;66,00;7892840126810
EQLIBRI MULTIGRAOS TOMATE E CEBOLINHA 50G;2,00;1,00;7892840241445
EQLIBRI PANETINI TOMATE TEMPERADO 40G;1,50;2,00;7892840236144
LAYS CLASSICO 30G;2,00;14,00;7892840243647
LAYS CLASSICO 90G;5,00;6,00;7892840241841
LAYS CLASSICO 96G;5,00;2,00;7892840256449
LAYS PICANHA 30G;2,00;5,00;7892840243845
LAYS PICANHA 90G;5,00;2,00;7892840242046
LAYS PICANHA 96G;5,00;2,00;7892840257347
LAYS SOUR CREAM 30G;2,00;4,00;7892840243746
LAYS SOUR CREAM 90G;5,00;9,00;7892840241940
LAYS SOUR CREAM 96G;5,00;2,00;7892840257248
PALITINHO SALGADO MERTZ 200G;3,85;3,00;7898210381117
SALGADINHO AMENDUPA CALABRESA 50G;1,15;25,00;7897115103114
SALGADINHO AMENDUPA CHURRASCO 50G;1,15;38,00;7897115103077
SALGADINHO AMENDUPA PIMENTA MEXICANA 50G;1,15;10,00;7897115103954
SALGADINHO BEIKITOS 100G;2,15;10,00;7898299940816
SALGADINHO BISTEX BACON 100G;2,58;181,00;7896385005616
SALGADINHO BISTEX SALTIPS ITALIANO 70G;1,95;36,00;7896385006507
SALGADINHO BISTEX SALTIPS ORIGINAL 70G;1,95;59,00;7896385006385
SALGADINHO BISTEX SALTIPS TEMPERADO 70G;1,95;48,00;7896385006514
SALGADINHO DE MILHO BISTEX CHURRASCO 100G;2,10;90,00;7896385005135
SALGADINHO DE MILHO BISTEX HOT DOG 100G;2,10;17,00;7896385006484
SALGADINHO DE MILHO BISTEX PIZZA 100G;2,10;6,00;7896385005319
SALGADINHO DE MILHO BISTEX QUEIJO 100G;2,10;56,00;7896385006057
SALGADINHO DE MILHO BISTEX QUEIJO CHIPS 100G;2,10;67,00;7896385005128
SALGADINHO GERMANI MIGNON 350G;3,50;20,00;7898045271829
SALGADINHO KAKITO CHURRASCO 50G;0,95;35,00;7898299940861
SALGADINHO KARAMBA QUEIJO NACHO 40G;1,35;7,00;7898299941103
SALGADINHO MOSMANN MIGNON BACON 50G;1,20;8,00;7896324281217
SALGADINHO YOKITOS CONCHINHAS PRESUNTO 54G;2,00;49,00;7891095023202
SALGADINHO YOKITOS REDINHA QUEIJO 135G;4,70;22,00;7891095023233
SALGADINHO YOKITOS RENDINHA QUEIJO 45G;2,00;56,00;7891095023226
SALGADINHO ZIX BACON 50G;1,65;9,00;7896385006866
SALGADINHO ZIX CAMARAO 50G;1,65;101,00;7896385000093
SALGADINHO ZIX F.MIGNON 50G;1,65;53,00;7896385006071
SALGADINHO ZIX QUEIJO 50G;1,65;22,00;7896385006088
KIT PANTENE SH+COND REST.400ML;24,50;2,00;7506295384632
BOLO DE CANECA DR.OETKER BROWNIE 70G;2,10;2,00;7891048070284
BOLO DE CANECA DR.OETKER CHOCOLATE 70G;2,10;2,00;7891048070215
CHOCO POWER BALL 80G;4,49;3,00;7896072641578
COCO DO VALE RALADO 100G;4,50;4,00;7898370100092
COCO QUALICOCO CONGELADO 500G;11,85;6,00;7896552900812
COCO QUALICOCO FLOCADO 100G;4,59;27,00;7896552901079
COCO QUALICOCO RALADO ADOÇADO 100G;3,48;46,00;7896552901062
COCO QUALICOCO RALADO PURO 100G;3,59;38,00;7896552901055
CREME DE LEITE DALIA 200G;1,98;91,00;732783810261
CREME DE LEITE ELEGE 200G;2,45;729,00;7896079500922
CREME DE LEITE HULALA 200ML;1,68;29,00;7898403910209
CREME DE LEITE LEVE CCGL 200G;1,45;12,00;7898929966483
CREME DE LEITE SANTA CLARA 200G;2,25;32,00;7896504301292
FLAN DR.OETKER CHOCOLATE 40G;2,35;17,00;7891048047101
GELATINA DR.OETKER DIET LIMAO 12G;2,49;1,00;7891048046647
GELATINA DR.OETKER DIET MORANGO 12G;2,49;2,00;7891048046654
GELATINA DR.OETKER DIET UVA 12G;2,49;11,00;7891048046661
GELATINA DR.OETKER LIMAO 30G;0,99;1,00;7891048050248
GELATINA MADRUGADA ABACAXI 30G;1,10;25,00;7896277201423
GELATINA MADRUGADA CEREJA 30G;1,10;26,00;7896277201522
GELATINA MADRUGADA DELETAR 30G;1,10;34,00;7896277203052
GELATINA MADRUGADA F.VERMELHAS 30G;1,10;49,00;7896277201508
GELATINA MADRUGADA FRAMBOESA 30G;1,10;34,00;7896277201485
GELATINA MADRUGADA LIMAO 30G;1,10;18,00;7896277201461
GELATINA MADRUGADA MARACUJA 30G;1,10;23,00;7896277201928
GELATINA MADRUGADA MORANGO 30G;1,10;54,00;7896277201409
GELATINA MADRUGADA PESSEGO 30G;1,10;4,00;7896277201621
GELATINA MADRUGADA S/SABOR INCOLOR 30G;1,25;59,00;7896277202499
GELATINA MADRUGADA TUTTI FRUTI 30G;1,10;16,00;7896277202949
GELATINA MADRUGADA UVA 30G;1,10;42,00;7896277201447
GELATINA ROYAL UVA ENV 25G;1,35;14,00;7622300859770
LEITE CONDENSADO AUREA ESPECIAL P/ PUDIM 395G;2,96;9,00;7896180784280
LEITE CONDENSADO ELEGE 395G;4,95;641,00;7896079510976
LEITE CONDENSADO ELEGE PAC C4UN;89,75;104,00;7896079515995
LEITE CONDENSADO MOÇA LT 395G;7,90;63,00;7891000100103
LEITE CONDENSADO SANTA CLARA 395G;3,28;27,00;7896504301605
LEITE CONDENSADO TRIANGULO 395G;4,10;32,00;7896434920570
LEITE DE COCO ADELCOCO 500ML;4,95;4,00;7896552905725
LEITE DE COCO NORDESTE 200ML;3,49;10,00;7898370100320
LEITE DE COCO NORDESTE 500ML;7,95;15,00;7898370100337
MARIA MOLE DR.OETKER COCO 50G;2,65;4,00;7891048051054
PUDIM DR. OETKER BAUNILHA 50G;2,05;4,00;7891048045114
PUDIM MADRUGADA BAUNILHA 85G;1,25;16,00;7896277201560
PUDIM MADRUGADA CARAMELO 85G;1,25;4,00;7896277201607
PUDIM MADRUGADA CHOCOLATE 85G;1,25;17,00;7896277201546
PUDIM MADRUGADA LEITE CONDENSADO 85G;1,25;15,00;7896277202833
PUDIM MADRUGADA MORANGO 85G;1,25;10,00;7896277201584
SORVETE SECO COLORIDO;0,60;86,00;57
CANJAO MAGGI GALINHA 200G;5,75;3,00;7891000582305
CANJAO QUALIMAX C/ FRANGO 160G;4,45;3,00;7891122111803
CREME DE CEBOLA MAGGI 68G;4,45;10,00;7891000538500
PAPINHA NESTLE FRUTAS SORTIDAS 120G;3,90;3,00;7891000049105
PAPINHA NESTLE LEGUMES C/CARNE 115G;3,90;9,00;7891000049273
PAPINHA NESTLE PEITO LEG MACARRAO 115G;4,45;9,00;7891000049051
SOPA FRTZ & FRIDA FIDELINE 67G;2,25;10,00;7898138581132
SOPA MAGGI CARNE C/CONCHINHAS 63G (10UN);3,75;4,00;7891000544402
SOPA MAGGI GALINHA C/FIDELINI 60G (10un);3,79;59,00;7891000544600
SOPA VONO INDIVIDUAL BATATA C/CARNE 18G;1,95;25,00;7891132007509
SOPA VONO INDIVIDUAL MILHO C/FRANGO 18G;1,95;51,00;7891132007486
SOPAO KITANO CARNE C/LEGUMES 196G;4,45;3,00;7891095003945
SOPAO KITANO GALINHA C/MACARRAO E LEGUMES 196G;4,45;1,00;7891095003884
SOPAO KITANO LEGUMES 196G;4,45;4,00;7891095010134
SOPAO MAGGI CARNE C/LEGUMES 200G;7,41;7,00;7891000582107
SOPAO MAGGI GALINHA C/LEGUMES 200G;7,41;59,00;7891000582008
SOPAO MAGGI GALINHA CAIPIRA 200G;7,41;18,00;7891000049891
CASCAO DE SORVETE;4,25;12,00;52
CASQUINHA DE SORVETE C/12UN;2,75;29,00;53
EMUSTAB SELECTA 1KG;28,00;3,00;7896411802455
PICOLE GEMELLI AMORES 60G;3,50;18,00;7898101971342
PICOLE GEMELLI BRIGADEIRO 67G;4,00;1,00;7898101971410
PICOLE GEMELLI MAGRITO 38G;1,50;10,00;7898101971922
PICOLE GUT BRIGADEIRO 65G;3,50;108,00;7898139210178
PICOLE GUT CREAM CHOCOLATE 55G;2,00;293,00;7898139210208
PICOLE GUT CREAM L.CONDENSADO 55G;2,00;277,00;7898139210192
PICOLE GUT CREAM MORANGO 55G;2,00;285,00;7898139210215
PICOLE GUT CREAM NAPOLITANO 55G;2,00;20,00;7898139210086
PICOLE GUT ESKIGUT 62G;3,00;129,00;7898139210185
PICOLE GUT FLOCOS 55G;2,00;167,00;7898139210345
PICOLE GUT FRUIT ABACAXI 55G;2,00;30,00;7898139210239
PICOLE GUT FRUIT LIMAO 55G;2,00;121,00;7898139210246
PICOLE GUT FRUIT UVA 55G;2,00;178,00;7898139210222
PICOLE GUT GRECO IOG C/ F.VERMELHAS 83G;4,00;16,00;7898139210499
PICOLE GUT KIDS MISTURALITO 58G;1,50;28,00;7898139210017
PICOLE GUT PECATTO CHOCOLATE 83G;5,00;71,00;7898139210475
PICOLE GUT PECATTO DOCE DE LEITE 83G;5,00;22,00;7898139210482
SACOLE ALBER SABORES;0,25;2.957,00;60
SORVETE GEMELLI SUNDAE MINI CHOCOLATE 55G;2,65;1,00;7898101970192
SORVETE GUT CHOCO FLOCOS 2L;17,90;10,00;7898139210581
SORVETE GUT CLASS IOGURTE C/ F.VERMELHAS 1L;11,99;2,00;7898139210512
SORVETE GUT CLASS SENSAÇAO 1L;11,99;7,00;7898139210529
SORVETE GUT CR.CEU E CHOCOLATE BRANCO 600ML;4,99;7,00;7898139210413
SORVETE GUT FLOCOS 1L;9,50;47,00;7898139210055
SORVETE GUT FLOCOS 2L;17,90;52,00;7898139210123
SORVETE GUT GRENAL 2L;17,90;1,00;7898139210291
SORVETE GUT LAMORE 2L;17,90;9,00;7898139210116
SORVETE GUT LAMORE BAUNILHA /CHOCOLATE 1L;9,50;5,00;7898139210062
SORVETE GUT NAPOLITANINHO 120G;3,50;28,00;7898139210277
SORVETE GUT NAPOLITANO 1L;9,50;45,00;7898139210260
SORVETE GUT NAPOLITANO 2L;17,90;37,00;7898139210109
SORVETE GUT PREMIUM CHOCOLATE 1L;18,30;1,00;7898139210147
SORVETE GUT PREMIUM MARACUJA 1L;18,30;1,00;7898139210338
SORVETE GUT PREMIUM NATA/UVA 1L;18,30;1,00;7898139210284
SORVETE GUT SUNDAE CARAMELO 90G;3,75;9,00;7898139210437
SORVETE GUT SUNDAE CHOCOLATE 90G;3,75;45,00;7898139210161
SORVETE GUT SUNDAE MORANGO 90G;3,75;14,00;7898139210154
SORVETE GUT TRICOLORE 2L;17,90;2,00;7898139210642
SORVETE GUT TRIPLO CHOCOLATE 2L;17,90;7,00;7898139210659
SORVETE GUT TROPICAL 2L;17,90;4,00;7898139210307
SORVETE PO YOKI CHOCOLATE 150G;4,25;1,00;7891095009909
SORVETE PO YOKI CREME 150G;4,25;3,00;7891095009930
SORVETE PO YOKI MORANGO 150G;4,25;2,00;7891095009916
ABS ALWAYS NOITES TRANQUILAS SECA L8/P7;6,25;1,00;7506339394535
AÇUCAR CRISTAL DE GRANDIS 2KG;4,75;34,00;040232895722
AÇUCAR CRISTAL DE GRANDIS 5KG;11,88;27,00;040232895739
AGUA COCO DUCOCO 1L;8,99;4,00;7896016608766
AGUA CRISTAL DA TERRA PET C/GAS 500ML;1,10;78,00;7896513077300
AGUA CRISTAL DA TERRA PET S/GAS 10L;11,90;1,00;7896513078963
AGUA CRISTAL DA TERRA PET S/GAS 500ML;1,00;120,00;7896513077317
AGUA DA PEDRA GARRAFAO 5L;6,25;47,00;7896436100581
AGUA DA PEDRA PET C/GAS 2L;3,25;44,00;7896436100604
AGUA DA PEDRA PET C/GAS 500ML;1,45;505,00;7896436100642
AGUA DA PEDRA S/GAS 1,5L;3,43;83,00;7896436100628
AGUA DA PEDRA S/GAS 500ML;1,35;1.304,00;7896436100666
AGUA DE COCO KERO COCO 200ML;2,49;2,00;7896828000017
AGUA DE COCO MAGUARY 200ML;2,68;3,00;7896000593764
AGUA DE COLONIA BEBE VIDA 100ML;11,45;1,00;7898489511154
AGUA TONICA FRUKI 350ML;1,99;6,00;7896436101342
AGUARDENTE CASTELHANA 870ML;5,30;54,00;7897736403044
ALGODAO CREMER PCT C/50G;2,88;2,00;7891800198102
ALIVIO MAGICO SERGIO PARIS 130G;5,95;5,00;7896298100750
AMPOLA ELSEVE REP TOTAL 5 EXTRA PROFUNDO 15ML;7,90;3,00;7898587765015
ANTARCTICA GUARANA GFA 1L;1,75;21,00;7891991010542
ANTARCTICA GUARANA PET 237ML;0,99;11,00;78910942
AQUARIUS FRESH PET LIMAO 1,5L;3,85;3,00;7894900330007
AQUARIUS FRESH PET LIMAO 510ML;2,29;83,00;7894900330014
BALA TROCO;0,06;290,00;90
BANDEJA ISOPOR PEQ 15X15 UN (400);37,66;802,00;7898947038018
BANHO SECO PETBRILL TRAD 200ML;18,75;1,00;7898275011530
BLOQUEADOR SERGIO PARIS FPS30 120G;17,90;2,00;7896298105205
BOBINA BEMATECH ECF 80MMX40M;3,92;32,00;7898905809490
BOM AR AIR WICK LAVANDA 360ML;10,45;6,00;7891035534508
BOONECAMP CHIAMULERA  870ML;10,35;30,00;7897736403853
BOONECAMP MARKOFF 900ML;5,65;5,00;7896513078567
BRILHO DE RESINA SILICONADO 170ML;9,75;4,00;7897626513938
CALABRESA PADARIA MJ KG;15,90;10,12;000162
CAMEL BOX BLUE;7,00;40,00;40331591
CAMEL BOX DOUBLE MENTA/CEREJA;8,00;26,00;4033100053986
CAMEL BOX FILTERS;7,00;19,00;40329055
CAMEL BOX OPTION MINT;7,00;12,00;42139621
CAMPARI BITTER 900ML;39,95;2,00;7891136051003
CERVEJA ANTARCTICA GFA 600ML;3,99;117,00;78905276
CERVEJA ANTARCTICA LT 350ML;1,97;10,00;7891991000796
CERVEJA ANTARCTICA SUB ZERO LATAO 473ML;2,49;47,00;7891991010153
CERVEJA BAVARIA LATAO 473ML;2,15;39,00;7896045503452
CERVEJA BAVARIA LT 350ML;1,61;10,00;7891991006101
CERVEJA BAVARIA PREMIUM GFA 600ML;3,90;72,00;7896045501311
CERVEJA BAVARIA ZERO ALCOOL LT 350ML;2,39;18,00;7896045504565
CERVEJA BOHEMIA  LITRAO 1LT;5,00;2,00;7891991010467
CERVEJA BRAHMA GFA 600ML;5,59;116,00;7891149010400
CERVEJA BRAHMA LATAO 473ML;3,49;560,00;7891149011001
CERVEJA BRAHMA LITRAO GFA 1L;5,29;44,00;7891149103041
CERVEJA BRAHMA LT 350ML;3,00;30,00;7891149010509
CERVEJA BRAHMA ZERO GARAFINHA 300ML;1,69;22,00;7891149105502
CERVEJA BUDWEISER KIT C/6UN;15,80;2,00;7891991010535
CERVEJA BUDWEISER LT 350ML;2,59;48,00;7891991010481
CERVEJA HEINEKEN LONG NECK C/6UN 355ML;20,05;19,00;7896045501298
CERVEJA HEINEKEN LT 350ML;2,95;14,00;7896045523412
CERVEJA HEINEKEN LT 6X250ML;18,90;1,00;7896045505364
CERVEJA MALZBIER BRAHMA KIT LONG NECK 355ML C/ 6UN;19,98;10,00;7891149040346
CERVEJA MALZBIER BRAHMA LT 350ML;3,29;16,00;7891149101528
CERVEJA MALZBIER NOVA SCHIN GFA 600ML;4,49;99,00;7896052600311
CERVEJA POLAR GAR 600ML;4,79;45,00;78905337
CERVEJA SCHIN ZERO ALCOOL  LT 350ML;2,49;84,00;7896052601424
CERVEJA SCHIN ZERO ALCOOL GFA 600ML;4,29;7,00;7896052605453
CERVEJA SKOL BEATS C/8UN 269ML;29,97;2,00;78911491055
CERVEJA SKOL GAR 600ML;5,49;111,00;7891149200405
CERVEJA SKOL ULTRA C/8UN;25,80;1,00;7891149106325
CHA LEAO ICE TEA PET PESSEGO 1,5L;3,98;5,00;7891098000583
CHA LEAO ICE TEA PET PESSEGO 300ML;1,95;9,00;7891098040015
CHAMPAGNE GOTA DE PRATA 660ML;6,80;36,00;7898307571681
CHAMPAGNE GOTA DE PRATA ROSE 660ML;6,80;21,00;7898307571698
CHAMPAGNE GOTAS GARIBALDI ROSE 660ML;7,45;3,00;7896034300239
CHAMPAGNE LIDER DE PRATA BRANCO 660ML;5,30;22,00;7898280620123
CHAMPAGNE LIDER DE PRATA ROSE 660ML;5,30;10,00;7898280620116
CHANTILLY RICHS CHOCOLATE 907G;25,35;1,00;049800113114
COCA COLA DELETAR PET 2L+500ML;5,29;159,00;7894900018424
COCA COLA GFA 1L;2,59;121,00;7894900015119
COCA COLA LT 250ML;1,75;146,00;7894900011203
COCA COLA LT 350ML;2,09;899,00;7894900010015
COCA COLA PET 1,5L;3,85;4,00;7894900011753
COCA COLA PET 2L;5,59;1.682,00;7894900011517
COCA COLA PET 2L+250ML;5,59;87,00;7894900018394
COCA COLA PET 2L+500ML;5,59;656,00;7894900011593
COCA COLA PET 600ML;2,99;637,00;7894900011609
COCA COLA ZERO LT 250ML;1,60;52,00;7894900701203
COCA COLA ZERO LT 350ML.;2,29;60,00;7894900700015
COCA COLA ZERO PET 2L;5,98;101,00;7894900701517
COCA COLA ZERO PET 600ML;3,19;153,00;7894900701609
COCKTAIL MARKOFF FRUTAS VERMELHAS 900ML;8,55;6,00;7896513078062
COND ELSEVE OLEO EXT NUTRIÇAO INT 200ML;10,90;5,00;7898587774437
COND HEDERA BABOSA 200ML;4,99;1,00;7898556122832
COND HEDERA CASULAO UMECTANTE 60G;5,25;9,00;7897626507814
COND HEDERA CERAMIDAS 200ML;4,99;1,00;7898556122849
COND HEDERA CERAMIDAS 340G;0,00;1,00;7898556120456
COND HEDERA HERASTEROL 200ML;3,45;14,00;7898207536421
COND HEDERA OLEO ARGAN 200ML;4,99;2,00;7898556122887
COND PANTENE BRILHO EXTREMOO 200ML;11,95;4,00;7501007457819
COND PANTENE HIDRATAÇAO 200ML;11,95;6,00;7501007413099
COND PANTENE RESTAURACAO 200ML;11,95;4,00;7501006721294
COND SEDA CERAMIDAS 350ML;7,90;2,00;7891037145351
COND SEDA LISO PERFEITO E SEDOSO 350ML;7,90;1,00;7891037010031
COND VAVAU TODOS TIPOS DE CABELO 500ML;11,70;2,00;7898360962600
COPO NADIR BAR REF 51160;3,75;39,00;7891155002574
COTONETE TOPZ 75UN;1,90;11,00;7896004814162
CR CAPILAR HEDERA CERAMIDAS 960G;5,99;5,00;7898556121187
CR CAPILAR HEDERA NEUTRO 960G;5,99;2,00;7898556121224
CR DE BARBEAR BIC SENSITIVE 65G;7,25;4,00;070330770126
CR DE BARBEAR BOZZANO 65G;6,90;10,00;7891350011623
CR DE BARBEAR BOZZANO ALOE VERA  65G;6,90;6,00;7891350011043
CR DE BARBEAR GILLETTE HIDRATANTE 65G;7,98;3,00;7891051008571
CR DE BARBEAR GILLETTE PELE SENSIVEL 65G;8,40;2,00;7891051008557
CR DESOD HEDERA MASC 55G;4,15;15,00;7898556120692
CR HEDERA PEPINO MAOS E ROSTO 30G;3,96;2,00;7898556122634
CR PENTEAR HEDERA OLEO ARGAN 200ML;4,95;1,00;7898556122504
D7 MAÇO AZUL;4,50;10,00;78932630
DALLAS BOX AZUL;5,25;120,00;78931336
DALLAS BOX CLASSIC AZUL;5,25;269,40;78935075
DALLAS MAÇO AZUL;5,25;54,00;78902329
